,이름,분류번호,대권역,수계,중권역,수질목표,주소,위도(DMS도),위도(DMS분),위도(DMS초),경도(DMS도),경도(DMS분),경도(DMS초),위도(Degree),경도(Degree),RCH_ID,본/지류,하천/호소,수량,총량,자동,퇴적물,방사성,예보,주요,중권역,보대,조사기관
노성천,,3013A20,금강,금강,논산천,,충청남도 논산시 광석면 항월리 (노성대교),36,12,58.5,127,5,44.8,36.21625,127.0957778,30130323,지,하천,1,,,,,,,,,충청남도
논산천2,,3013A30,금강,금강,논산천,,충청남도 논산시 대교동 (논산대교),36,12,25.58,127,4,58.02,36.20710556,127.0827833,30130503,지,하천,1,,,,,,,,,충청남도
방축천,,3013A40,금강,금강,논산천,,충청남도 논산시 채운면 장화리 (영창교),36,10,11.8,127,3,19.7,36.16994444,127.0554722,30130505,지,하천,1,,,,,,,,,충청남도
논산천4,논산A,3013A50,금강,금강,논산천,Ib,충청남도 논산시 성동면 개척리 (강경천합류후배수장옆),36,9,57.35,127,0,38.29,36.16593056,127.0106361,30130509,지,하천,1,1,,1,1,1,1,1,,금강물환경연구소
수철천,,3013A60,금강,금강,논산천,,충청남도 논산시 연무읍 봉동리 (황화교),36,5,53.3,127,5,46.1,36.09813889,127.0961389,30130409,지,하천,1,,,,,,,,,충청남도
마산천,,3013A70,금강,금강,논산천,,전라북도 익산시 망성면 무형리 (신풍),36,7,53.96,127,2,57.26,36.13165556,127.0492389,30130410,지,하천,1,,,,,,,,,금강유역환경청
강경천,,3013A80,금강,금강,논산천,,충청남도 논산시 강경읍 흥교리 (상강경교),36,9,34.06,127,1,36.64,36.15946111,127.0268444,30130413,지,하천,1,,,,,,,,,금강유역환경청
강경,금본K,3014A10,금강,금강,금강하구언,,충청남도 논산시 강경읍 황산리 (황산대교),36,9,5.96,127,0,27.8,36.15165556,127.0077222,30140101,본,하천,1,1,,,,1,,,,금강물환경연구소
산북천,,3014A15,금강,금강,금강하구언,,전라북도 익산시 성당면 부곡리 (연동교),36,6,28,126,56,33,36.10777778,126.9425,30140122,지,하천,,1,,,,1,,,,금강물환경연구소
양화-1,,3014A30,금강,금강,금강하구언,II,충청남도 부여군 양화면 내성리 (웅포대교),36,6,15.84,126,52,30.2,36.1044,126.8750556,30140302,본,하천,1,,,1,,1,,1,,금걍유역환경청
